Country Name,Series Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
United States,Population growth (annual %),1.112768997,0.989741382,0.927797486,0.859481713,0.925483969,0.921713167,0.964253917,0.951055243,0.945865287,0.876651299,0.829616675,0.726786705,0.733599941,0.692860277,0.73336152,0.736217309
United States,GDP growth (annual %),4.077585758,0.955538346,1.700447324,2.795605966,3.847771692,3.483549938,2.784539639,2.003858298,0.113587248,-2.576500234,2.695192584,1.564406854,2.289113388,2.117830099,2.523819814,2.945550455
United States,"Inflation, GDP deflator (annual %)",2.265195177,2.251689916,1.55399466,1.974314705,2.689087603,3.135454557,3.083836734,2.709258487,1.926709699,0.616780715,1.215286682,2.063109475,1.862164928,1.701880361,1.741618053,0.928042795
